neuron_name,in_synapse_count(chemical),out_synapse_count(chemical),in_synapse_count(electric),out_synapse_count(electric),in_synapse_count(mixed),out_synapse_count(mixed),product_of_synapses,sum_of_synapses
SMB,3,1,0,0,0,0,3,4
RIA,13,4,0,0,0,0,52,17
RIF,1,36,0,0,0,0,36,37
ASH,4,46,0,0,0,0,184,50
AIB,1,15,0,0,0,0,15,16
AWC,1,1,0,0,0,0,1,2
URY,1,7,0,0,0,0,7,8
AIM,1,1,0,0,0,0,1,2
AVH,2,5,0,0,0,0,10,7
