neuron_name,in_synapse_count(chemical),out_synapse_count(chemical),in_synapse_count(electric),out_synapse_count(electric),in_synapse_count(mixed),out_synapse_count(mixed),product_of_synapses,sum_of_synapses
ASH,4,46,0,0,0,0,184,50
RIA,13,4,0,0,0,0,52,17
